#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
uncompressed_fastq	ERR3077585.29927	1403	3006	+	tetB(46)	1-1653/1737	========/======	64/105	90.73	84.89	ncbi	NG_048318.1	tetracycline efflux ABC transporter Tet(46) subunit B	TETRACYCLINE
uncompressed_fastq	ERR3077585.30262	1698	3384	+	tet(M)	1-1728/1920	========/=====.	61/95	86.46	91.45	ncbi	NG_048250.1	tetracycline resistance ribosomal protection protein Tet(M)	TETRACYCLINE
uncompressed_fastq	ERR3077585.31566	1174	2606	-	msr(D)	21-1464/1464	========/======	61/87	95.29	88.60	ncbi	NG_048006.1	ABC-F type ribosomal protection protein Msr(D)	MACROLIDE
uncompressed_fastq	ERR3077585.3479	689	2156	+	msr(D)	1-1464/1464	========/======	59/104	96.58	90.51	ncbi	NG_048006.1	ABC-F type ribosomal protection protein Msr(D)	MACROLIDE
uncompressed_fastq	ERR3077585.3705	1111	2326	+	mef(A)	1-1218/1218	========/======	35/64	97.29	91.51	ncbi	NG_047958.1	macrolide efflux MFS transporter Mef(A)	MACROLIDE
uncompressed_fastq	ERR3077585.3705	2446	3884	+	msr(D)	1-1464/1464	========/======	54/85	96.24	90.50	ncbi	NG_048006.1	ABC-F type ribosomal protection protein Msr(D)	MACROLIDE
uncompressed_fastq	ERR3077585.4403	1248	3100	+	tet(M)	1-1891/1920	========/======	54/86	95.26	92.06	ncbi	NG_048250.1	tetracycline resistance ribosomal protection protein Tet(M)	TETRACYCLINE
uncompressed_fastq	ERR3077585.5038	720	2397	-	tetA(46)	1-1725/1725	========/======	60/101	95.71	86.24	ncbi	NG_048312.1	tetracycline efflux ABC transporter Tet(46) subunit A	TETRACYCLINE
uncompressed_fastq	ERR3077585.527	492	2196	+	tetA(46)	1-1721/1725	========/======	59/94	96.58	86.59	ncbi	NG_048312.1	tetracycline efflux ABC transporter Tet(46) subunit A	TETRACYCLINE
uncompressed_fastq	ERR3077585.5319	100	1713	+	tetB(46)	29-1655/1737	========/======	62/107	90.21	82.38	ncbi	NG_048318.1	tetracycline efflux ABC transporter Tet(46) subunit B	TETRACYCLINE
uncompressed_fastq	ERR3077585.6211	166	1590	+	msr(D)	1-1463/1464	========/======	43/76	96.04	91.36	ncbi	NG_048006.1	ABC-F type ribosomal protection protein Msr(D)	MACROLIDE
uncompressed_fastq	ERR3077585.7520	139	1606	+	msr(D)	3-1456/1464	========/======	50/88	96.79	90.90	ncbi	NG_048006.1	ABC-F type ribosomal protection protein Msr(D)	MACROLIDE
uncompressed_fastq	ERR3077585.7521	87	1919	+	tet(M)	41-1909/1920	========/======	63/100	93.80	90.58	ncbi	NG_048215.1	tetracycline resistance ribosomal protection protein Tet(M)	TETRACYCLINE
uncompressed_fastq	ERR3077585.7797	1602	2820	+	mef(A)	1-1218/1218	========/======	46/73	97.04	90.44	ncbi	NG_047958.1	macrolide efflux MFS transporter Mef(A)	MACROLIDE
uncompressed_fastq	ERR3077585.8422	1049	2680	-	tetB(46)	1-1662/1737	========/======	66/100	91.94	82.67	ncbi	NG_048318.1	tetracycline efflux ABC transporter Tet(46) subunit B	TETRACYCLINE
uncompressed_fastq	ERR3077585.9177	96	1363	-	msr(D)	1-1279/1464	========/=====.	44/69	84.63	92.20	ncbi	NG_048006.1	ABC-F type ribosomal protection protein Msr(D)	MACROLIDE
